scode,year,demand_reviewed_chunk_count,demand_label_complete,demand_positive_chunk_count,candidate_screened,evidence_count,positive_chunk_count,overseas_demand,ln_evidence_count,assets,liabilities,fixed_assets,revenue,operating_cost,rd_expense,net_profit,intermediate_cash_paid,employees,establish_date,listed_date,regcap,equity_nature,soe,province,coastal,firm_age,listing_age,roa,leverage,rd_intensity,ln_regcap,overseas_rev_share,regional_revenue_quality,regional_total_rows,regional_overseas_rows,regional_ambiguous_rows,subsidiary_source_present,active_sub_count,foreign_sub_count,hmt_sub_count,foreign_country_count,overseas_sub_count,overseas_country_count,subsidiary_region_missing_count,has_foreign_sub,has_foreign_or_hmt_sub,has_overseas_sub,lag_subsidiary_source_present,lag_active_sub_count,lag_foreign_sub_count,lag_hmt_sub_count,lag_foreign_country_count,lag_overseas_sub_count,lag_overseas_country_count,lag_has_foreign_sub,lag_has_foreign_or_hmt_sub,lag_has_overseas_sub,new_foreign_sub_t1,new_foreign_sub_t1_eligible,new_overseas_sub_t1,new_overseas_sub_t1_eligible,missing_sub,missing_revenue
000922,2022,25,1,1,1,1,1,1.0,0.6931471805599453,6354501670.5,3350396318.05,555690424.45,3579140698.27,2728917631.28,82138396.82,351121775.35,453045910.18,1784,1993-08-28,1999-06-18,833982184,国企,1.0,黑龙江省,0,29,23,0.0552555957267333,0.527247688611651,0.0229491947214319,20.54172259798453,,invalid_total_or_amount,1.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,False,True
002090,2020,21,1,1,1,1,1,1.0,0.6931471805599453,3484364607.62,2087622756.24,481562720.71,1858194282.82,1389798819.84,159119622.36,78300081.0,1128307326.45,1184,1995-11-10,2006-12-08,400577071,民营,0.0,江苏省,1,25,14,0.0224718391493142,0.5991401564791905,0.085631316289769,19.80841674291288,,invalid_total_or_amount,1.0,1.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,0.0,1,False,True
002184,2020,28,1,1,1,1,1,1.0,0.6931471805599453,2347320587.57,1085025041.18,228481309.04,2265534587.36,1814504758.24,69520534.77,158521001.36,1292929099.37,978,2000-04-26,2007-11-16,351908370,民营,0.0,上海市,1,20,13,0.0675327444403768,0.4622398179974397,0.0306861502613435,19.678881387175192,,invalid_total_or_amount,1.0,1.0,0.0,1.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,False,True
002452,2022,16,1,1,1,1,1,1.0,0.6931471805599453,3254980104.24,1151509704.49,355787341.99,1222900130.75,840287634.72,87752265.8,48638295.83,847330248.2,1425,1998-04-23,2010-07-20,620332085,民营,0.0,湖南省,0,24,12,0.0149427321434754,0.3537685846343642,0.0717575079055571,20.24576551357744,,invalid_total_or_amount,1.0,1.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,False,True
002614,2018,14,1,2,1,2,2,1.0,1.0986122886681098,5942577795.79,2658828545.42,627385756.82,5447030714.43,3472211266.17,183432601.17,442807266.48,3191636631.93,9260,1996-08-01,2011-09-09,623739204,民营,0.0,福建省,1,22,7,0.074514340694657,0.4474200652961815,0.0336757053129991,20.25124289666378,0.0,sheet4_total_only_zero,1.0,0.0,0.0,1.0,71.0,,,,,,15.0,,,,1.0,61.0,29.0,6.0,13.0,35.0,15.0,1.0,1.0,1.0,,0,,0,True,False
002614,2019,7,1,1,1,1,1,1.0,0.6931471805599453,6142543966.95,2747910412.1,721392189.14,5276271252.16,3312686269.85,226869195.9,280140048.7,3497976706.1,10135,1996-08-01,2011-09-09,623739204,民营,0.0,福建省,1,23,8,0.0456065190916492,0.4473570603458682,0.0429980160339793,20.25124289666378,0.0,sheet4_total_only_zero,1.0,0.0,0.0,1.0,89.0,,,,,,5.0,,,,1.0,71.0,,,,,,,,,,0,,0,True,False
300080,2021,36,1,1,1,1,1,1.0,0.6931471805599453,10334746146.23,4762260183.87,4061417581.23,5777829210.48,5448032978.16,208207453.42,-253231061.56,2201776100.34,4364,2008-10-08,2010-06-25,1873380436,国企,1.0,河南省,0,13,11,-0.0245028816360792,0.4608008863001651,0.0360355846175492,21.35101035564004,,invalid_total_or_amount,1.0,1.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,False,True
300444,2019,24,1,1,1,1,1,1.0,0.6931471805599453,2868600375.91,2113025886.42,364635517.97,1701250776.83,1291593568.82,92983385.67,-973573275.86,1022848995.44,1603,2002-12-13,2015-04-23,798625090,民营,0.0,北京市,0,17,4,-0.3393896494039032,0.7366051765748965,0.0546558960832683,20.498402169580466,,invalid_total_or_amount,1.0,2.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,False,True
300670,2018,21,1,1,1,1,1,1.0,0.6931471805599453,795268487.16,207492078.46,68017787.93,355366687.26,261968289.29,13783312.61,35796153.66,237150993.73,347,2011-12-21,2017-07-03,316920479,民营,0.0,江苏省,1,7,1,0.045011407138528,0.2609082112645747,0.0387861696217901,19.574161445482613,0.0,sheet4_total_only_zero,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0,,0,True,False
600212,2021,21,1,1,1,1,1,1.0,0.6931471805599453,313624691.18,80532544.21,128344182.64,242799608.79,208157936.36,,-20075049.2,65665040.37,466,1992-12-14,1999-08-17,704150213,民营,0.0,山东省,1,29,22,-0.0640097854683202,0.2567799872739598,,20.372502262100653,,source_absent,,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,False,True
